Gene.ID,Chr,start,end,strand,gene_length,type,detailed_type,symbol,annotation
AT2G37125,Chr2,15596104,15596908,-,805,mRNA,mRNA,,GRF zinc finger protein
AT2G37130,Chr2,15597921,15600154,-,2234,mRNA,mRNA,,Peroxidase superfamily protein
MSTRG.9759.1,Chr2,15598017,15598729,+,713,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G37130
AT2G37140,Chr2,15602863,15603515,+,653,mRNA,mRNA,,Terpenoid synthases superfamily protein
AT2G37150,Chr2,15603142,15608587,-,5446,mRNA,mRNA,,RING/U-box superfamily protein
AT2G37160,Chr2,15608697,15612934,+,4238,mRNA,mRNA,,Transducin/WD40 repeat-like superfamily protein
AT2G37170,Chr2,15613368,15615022,-,1655,mRNA,mRNA,PIP2B,plasma membrane intrinsic protein 2
AT2G37180,Chr2,15617635,15619155,+,1521,mRNA,mRNA,RD28,Aquaporin-like superfamily protein
AT2G37190,Chr2,15619206,15620156,-,951,mRNA,mRNA,,Ribosomal protein L11 family protein
AT2G37195,Chr2,15620257,15621880,+,1624,mRNA,mRNA,,acyl-CoA-binding domain protein
AT2G37200,Chr2,15621815,15623160,-,1346,mRNA,mRNA,,Uncharacterized protein family (UPF0497)
AT2G37210,Chr2,15623928,15627032,-,3105,mRNA,mRNA,LOG3,lysine decarboxylase family protein
AT2G37220,Chr2,15634466,15636522,-,2057,mRNA,mRNA,,RNA-binding (RRM/RBD/RNP motifs) family protein
AT2G37230,Chr2,15636897,15639768,-,2872,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT2G37240,Chr2,15639773,15641773,-,2001,mRNA,mRNA,,Thioredoxin superfamily protein
AT2G37250,Chr2,15641906,15644143,+,2238,mRNA,mRNA,ADK,adenosine kinase
AT2G08860,Chr2,15643645,15643786,+,142,canonical ncRNA,snoRNA,,
AT2G37260,Chr2,15644811,15647076,+,2266,mRNA,mRNA,TTG2,WRKY family transcription factor family protein
AT2G37270,Chr2,15647677,15649471,-,1795,mRNA,mRNA,RPS5B,ribosomal protein 5B
AT2G37280,Chr2,15650169,15656657,+,6489,mRNA,mRNA,ABCG33,pleiotropic drug resistance 5
AT2G37290,Chr2,15656427,15661735,-,5309,mRNA,mRNA,,Ypt/Rab-GAP domain of gyp1p superfamily protein
AT2G37300,Chr2,15662224,15664599,-,2376,mRNA,mRNA,ABCI16,transmembrane protein
AT2G37310,Chr2,15664800,15667115,-,2316,mRNA,mRNA,,Pentatricopeptide repeat (PPR) superfamily protein
AT2G37320,Chr2,15667139,15668851,+,1713,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT2G37330,Chr2,15669131,15670187,+,1057,mRNA,mRNA,ALS3,aluminum sensitive 3
AT2G37340,Chr2,15670147,15672700,-,2554,mRNA,mRNA,RS2Z33,arginine/serine-rich zinc knuckle-containing protein 33
AT2G08865,Chr2,15671397,15672248,+,852,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G37340
AT2G37360,Chr2,15673410,15675920,-,2511,mRNA,mRNA,ABCG2,ABC-2 type transporter family protein
AT2G37362,Chr2,15673559,15676081,+,2523,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G37360
AT2G37370,Chr2,15679107,15684718,+,5612,mRNA,mRNA,,centrosomal protein of 135 kDa-like protein
AT2G37380,Chr2,15686650,15688013,+,1364,mRNA,mRNA,MAKR3,membrane-associated kinase regulator
AT2G08870,Chr2,15690271,15690507,+,237,lncRNA,intergenic,,
AT2G37390,Chr2,15694038,15695999,+,1962,mRNA,mRNA,NAKR2,Chloroplast-targeted copper chaperone protein
AT2G37400,Chr2,15695988,15697457,-,1470,mRNA,mRNA,,Tetratricopeptide repeat (TPR)-like superfamily protein
AT2G37410,Chr2,15697810,15699354,-,1545,mRNA,mRNA,TIM17-2,translocase inner membrane subunit 17-2
AT2G37420,Chr2,15700211,15705362,+,5152,mRNA,mRNA,,ATP binding microtubule motor family protein
AT2G37430,Chr2,15706285,15707224,+,940,mRNA,mRNA,ZAT11,C2H2 and C2HC zinc fingers superfamily protein
AT2G37435,Chr2,15709808,15710912,+,1105,mRNA,mRNA,,Cystatin/monellin superfamily protein
AT2G37440,Chr2,15718044,15722152,+,4109,mRNA,mRNA,,DNAse I-like superfamily protein
AT2G37450,Chr2,15722480,15725062,-,2583,mRNA,mRNA,UMAMIT13,nodulin MtN21 /EamA-like transporter family protein
AT2G37460,Chr2,15726338,15729170,-,2833,mRNA,mRNA,UMAMIT12,nodulin MtN21 /EamA-like transporter family protein
AT2G08875,Chr2,15732608,15732998,+,391,lncRNA,intergenic,,
AT2G08880,Chr2,15734908,15735118,+,211,lncRNA,intergenic,,
AT2G37470,Chr2,15736727,15737728,+,1002,mRNA,mRNA,,Histone superfamily protein
MSTRG.9798.1,Chr2,15736832,15736981,-,150,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G37470
AT2G37480,Chr2,15737842,15739848,+,2007,mRNA,mRNA,,hypothetical protein
AT2G37500,Chr2,15739783,15742838,-,3056,mRNA,mRNA,,arginine biosynthesis protein ArgJ family
AT2G37510,Chr2,15742980,15744606,-,1627,mRNA,mRNA,,RNA-binding (RRM/RBD/RNP motifs) family protein
AT2G37520,Chr2,15744670,15750135,-,5466,mRNA,mRNA,,Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger domain-containing protein
AT2G37530,Chr2,15750915,15751672,+,758,mRNA,mRNA,,forkhead box protein G1
AT2G37540,Chr2,15751568,15754061,-,2494,mRNA,mRNA,,NAD(P)-binding Rossmann-fold superfamily protein
AT2G37550,Chr2,15755078,15757601,-,2524,mRNA,mRNA,AGD7,ARF-GAP domain 7
AT2G37555,Chr2,15756722,15758279,+,1558,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G37550
AT2G37560,Chr2,15758601,15761262,+,2662,mRNA,mRNA,ORC2,origin recognition complex second largest subunit 2
AT2G37570,Chr2,15761295,15763451,-,2157,mRNA,mRNA,SLT1,HSP20-like chaperones superfamily protein
MSTRG.9810.1,Chr2,15764502,15765392,-,891,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G37580
AT2G37580,Chr2,15764515,15765658,+,1144,mRNA,mRNA,,RING/U-box superfamily protein
AT2G37585,Chr2,15765698,15767878,+,2181,mRNA,mRNA,,Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein
AT2G37590,Chr2,15769086,15770805,+,1720,mRNA,mRNA,DOF2.4,DNA binding with one finger 2.4
AT2G37600,Chr2,15774030,15775374,-,1345,mRNA,mRNA,,Ribosomal protein L36e family protein
AT2G37610,Chr2,15776849,15777673,-,825,mRNA,mRNA,,hypothetical protein
AT2G37620,Chr2,15778941,15781561,+,2621,mRNA,mRNA,ACT1,actin 1
AT2G37630,Chr2,15781232,15783480,-,2249,mRNA,mRNA,AS1,myb-like HTH transcriptional regulator family protein
MSTRG.9818.1,Chr2,15782221,15782929,+,709,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G37630
AT2G37640,Chr2,15787523,15790139,-,2617,mRNA,mRNA,EXP3,Barwin-like endoglucanases superfamily protein
MSTRG.9820.1,Chr2,15787988,15788367,+,380,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G37640
AT2G37650,Chr2,15792545,15795235,+,2691,mRNA,mRNA,,GRAS family transcription factor
AT2G37660,Chr2,15795213,15797059,-,1847,mRNA,mRNA,,NAD(P)-binding Rossmann-fold superfamily protein
AT2G37670,Chr2,15797210,15800796,-,3587,mRNA,mRNA,,Transducin/WD40 repeat-like superfamily protein
AT2G37678,Chr2,15801418,15802793,-,1376,mRNA,mRNA,FHY1,far-red elongated hypocotyl 1
AT2G37680,Chr2,15803243,15805673,-,2431,mRNA,mRNA,,glucose-induced degradation-like protein
AT2G37690,Chr2,15805659,15810552,+,4894,mRNA,mRNA,,phosphoribosylaminoimidazole carboxylase%2C putative / AIR carboxylase
AT2G37700,Chr2,15810520,15814218,-,3699,mRNA,mRNA,,Fatty acid hydroxylase superfamily
AT2G37710,Chr2,15814531,15817088,-,2558,mRNA,mRNA,RLK,receptor lectin kinase
AT2G37720,Chr2,15818082,15821311,+,3230,mRNA,mRNA,TBL15,TRICHOME BIREFRINGENCE-LIKE 15
AT2G08885,Chr2,15821694,15821999,-,306,lncRNA,intergenic,,
AT2G37730,Chr2,15822098,15824538,-,2441,mRNA,mRNA,,glycosyltransferase (DUF604)
AT2G37740,Chr2,15827416,15828784,-,1369,mRNA,mRNA,ZFP10,zinc-finger protein 10
AT2G37750,Chr2,15830870,15831592,+,723,mRNA,mRNA,,hypothetical protein
AT2G37760,Chr2,15831656,15833921,+,2266,mRNA,mRNA,AKR4C8,NAD(P)-linked oxidoreductase superfamily protein
AT2G37770,Chr2,15834766,15837001,+,2236,mRNA,mRNA,ChlAKR,NAD(P)-linked oxidoreductase superfamily protein
AT2G37780,Chr2,15837442,15838302,-,861,mRNA,mRNA,,Cysteine/Histidine-rich C1 domain family protein
AT2G37790,Chr2,15838692,15840945,+,2254,mRNA,mRNA,AKR4C10,NAD(P)-linked oxidoreductase superfamily protein
AT2G37800,Chr2,15841039,15841850,-,812,mRNA,mRNA,,cysteine/histidine-rich C1 domain protein
AT2G37805,Chr2,15842880,15843733,-,854,mRNA,mRNA,,cysteine/histidine-rich C1 domain protein
AT2G37810,Chr2,15845350,15846051,-,702,mRNA,mRNA,,Cysteine/Histidine-rich C1 domain family protein
AT2G37820,Chr2,15847450,15848659,+,1210,mRNA,mRNA,,Cysteine/Histidine-rich C1 domain family protein
AT2G37830,Chr2,15849360,15849740,-,381,pseudogene,intergenic,,pseudogene
AT2G37840,Chr2,15851726,15856334,+,4609,mRNA,mRNA,,Protein kinase superfamily protein
AT2G37860,Chr2,15856528,15858986,+,2459,mRNA,mRNA,LCD1,reticulata-like protein%2C putative (DUF3411)
AT2G37870,Chr2,15859204,15859942,+,739,mRNA,mRNA,,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT2G37880,Chr2,15860627,15861665,+,1039,mRNA,mRNA,,MIZU-KUSSEI-like protein (Protein of unknown function%2C DUF617)
AT2G37890,Chr2,15861688,15864128,-,2441,mRNA,mRNA,,Mitochondrial substrate carrier family protein
AT2G37900,Chr2,15864186,15866769,-,2584,mRNA,mRNA,,Major facilitator superfamily protein
AT2G08890,Chr2,15867639,15867841,+,203,lncRNA,intergenic,,
AT2G37920,Chr2,15868340,15870071,-,1732,mRNA,mRNA,emb1513,copper ion transmembrane transporter
AT2G37910,Chr2,15868399,15869097,+,699,mRNA,mRNA,,cation/hydrogen exchanger%2C putative (CHX21)
AT2G37925,Chr2,15870077,15870754,-,678,mRNA,mRNA,COPT4,copper transporter 4
AT2G37930,Chr2,15872347,15874972,+,2626,mRNA,mRNA,,hypothetical protein (DUF3527)
AT2G37940,Chr2,15876717,15880103,+,3387,mRNA,mRNA,AtIPCS2,Inositol phosphorylceramide synthase 2
AT2G08895,Chr2,15880560,15880874,-,315,lncRNA,intergenic,,
AT2G37950,Chr2,15882295,15884013,-,1719,mRNA,mRNA,,RING/FYVE/PHD zinc finger superfamily protein
AT2G37960,Chr2,15886548,15889258,-,2711,mRNA,mRNA,,myosin-M heavy protein
AT2G08900,Chr2,15890070,15890162,-,93,canonical ncRNA,snoRNA,,
AT2G08905,Chr2,15890231,15890327,-,97,canonical ncRNA,snoRNA,,
AT2G08910,Chr2,15890380,15890473,-,94,canonical ncRNA,snoRNA,,
AT2G08915,Chr2,15890620,15891540,-,921,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G37970
AT2G37970,Chr2,15890869,15891704,+,836,mRNA,mRNA,SOUL-1,SOUL heme-binding family protein
AT2G37975,Chr2,15891735,15893639,-,1905,mRNA,mRNA,,Yos1-like protein
AT2G37980,Chr2,15893800,15897805,-,4006,mRNA,mRNA,,O-fucosyltransferase family protein
AT2G37990,Chr2,15900635,15903218,+,2584,mRNA,mRNA,,ribosome biogenesis regulatory protein (RRS1) family protein
AT2G38000,Chr2,15903125,15905391,-,2267,mRNA,mRNA,,chaperone protein dnaJ-like protein
AT2G38010,Chr2,15906555,15909931,+,3377,mRNA,mRNA,,Neutral/alkaline non-lysosomal ceramidase
AT2G38020,Chr2,15909908,15914711,-,4804,mRNA,mRNA,VCL1,vacuoleless1 (VCL1)
AT2G38025,Chr2,15914958,15916807,-,1850,mRNA,mRNA,,Cysteine proteinases superfamily protein
AT2G38030,Chr2,15916817,15916889,+,73,canonical ncRNA,tRNA,,
AT2G38040,Chr2,15917032,15921170,+,4139,mRNA,mRNA,CAC3,acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit
AT2G38050,Chr2,15921136,15922321,-,1186,mRNA,mRNA,DET2,3-oxo-5-alpha-steroid 4-dehydrogenase family protein
AT2G38060,Chr2,15922518,15925895,-,3378,mRNA,mRNA,PHT4%3B2,phosphate transporter 4%3B2
AT2G08920,Chr2,15926909,15927142,+,234,lncRNA,intergenic,,
AT2G38070,Chr2,15928591,15930817,+,2227,mRNA,mRNA,,LOW protein: UPF0503-like protein%2C putative (DUF740)
AT2G08925,Chr2,15931885,15932102,-,218,lncRNA,intergenic,,
AT2G38080,Chr2,15934244,15937616,+,3373,mRNA,mRNA,IRX12,Laccase/Diphenol oxidase family protein
AT2G38090,Chr2,15944583,15947096,+,2514,mRNA,mRNA,,Duplicated homeodomain-like superfamily protein
AT2G38100,Chr2,15948418,15950994,-,2577,mRNA,mRNA,,proton-dependent oligopeptide transport (POT) family protein
AT2G38110,Chr2,15952496,15955752,-,3257,mRNA,mRNA,GPAT6,glycerol-3-phosphate acyltransferase 6
AT2G08930,Chr2,15967183,15967576,+,394,lncRNA,intergenic,,
AT2G38120,Chr2,15972876,15977180,+,4305,mRNA,mRNA,AUX1,Transmembrane amino acid transporter family protein
AT2G08935,Chr2,15977314,15977515,-,202,lncRNA,intergenic,,
AT2G38130,Chr2,15978377,15980763,-,2387,mRNA,mRNA,ATMAK3,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G38140,Chr2,15980848,15981612,+,765,mRNA,mRNA,PSRP4,plastid-specific ribosomal protein 4
MSTRG.9871.1,Chr2,15980922,15981037,-,116,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G38140
AT2G38150,Chr2,15981625,15982917,-,1293,mRNA,mRNA,,alpha 1%2C4-glycosyltransferase family protein
AT2G38152,Chr2,15984061,15985278,-,1218,mRNA,mRNA,,alpha 1%2C4-glycosyltransferase family protein
AT2G38160,Chr2,15986390,15988775,-,2386,mRNA,mRNA,,hypothetical protein
AT2G38170,Chr2,15989083,15993326,-,4244,mRNA,mRNA,CAX1,cation exchanger 1
AT2G08940,Chr2,15994271,15994517,+,247,lncRNA,intergenic,,
AT2G38180,Chr2,15996934,15999039,+,2106,mRNA,mRNA,,SGNH hydrolase-type esterase superfamily protein
AT2G38185,Chr2,15999926,16003169,+,3244,mRNA,mRNA,APD1,RING/U-box superfamily protein
AT2G38195,Chr2,16002263,16006654,+,4392,mRNA,mRNA,APD4,RING/U-box superfamily protein
AT2G38210,Chr2,16006749,16007722,+,974,mRNA,mRNA,PDX1L4,putative PDX1-like protein 4
AT2G38220,Chr2,16007891,16010932,+,3042,mRNA,mRNA,APD3,RING/U-box superfamily protein
MSTRG.9879.1,Chr2,16010531,16010671,-,141,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G38220
AT2G38230,Chr2,16011233,16012515,+,1283,mRNA,mRNA,PDX1.1,pyridoxine biosynthesis 1.1
AT2G38240,Chr2,16012535,16014991,-,2457,mRNA,mRNA,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT2G38250,Chr2,16018210,16020156,+,1947,mRNA,mRNA,,Homeodomain-like superfamily protein
AT2G38255,Chr2,16022334,16024854,-,2521,mRNA,mRNA,,hypothetical protein (DUF239)
AT2G38260,Chr2,16025201,16029565,-,4365,pseudogene,intergenic,,pseudogene
MSTRG.9884.1,Chr2,16028901,16029568,+,668,lncRNA,intergenic,NA,NA
AT2G38270,Chr2,16031185,16033169,-,1985,mRNA,mRNA,CXIP2,CAX-interacting protein 2
AT2G38280,Chr2,16033292,16038972,-,5681,mRNA,mRNA,FAC1,AMP deaminase%2C putative / myoadenylate deaminase
AT2G38290,Chr2,16039430,16042521,-,3092,mRNA,mRNA,AMT2,ammonium transporter 2
AT2G38300,Chr2,16043948,16046015,-,2068,mRNA,mRNA,,myb-like HTH transcriptional regulator family protein
AT2G38310,Chr2,16049918,16051356,+,1439,mRNA,mRNA,PYL4,PYR1-like 4
AT2G08945,Chr2,16051529,16051733,-,205,lncRNA,intergenic,,
AT2G08950,Chr2,16052331,16052941,+,611,lncRNA,intergenic,,
AT2G38320,Chr2,16055289,16058014,+,2726,mRNA,mRNA,TBL34,TRICHOME BIREFRINGENCE-LIKE 34
AT2G08955,Chr2,16063206,16063973,+,768,lncRNA,intergenic,,
AT2G38330,Chr2,16064503,16067437,+,2935,mRNA,mRNA,,MATE efflux family protein
AT2G38340,Chr2,16067396,16068615,-,1220,mRNA,mRNA,DREB19,Integrase-type DNA-binding superfamily protein
AT2G08960,Chr2,16067894,16068098,+,205,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G38340
AT2G38350,Chr2,16068341,16069308,+,968,mRNA,mRNA,,hypothetical protein
AT2G38360,Chr2,16069386,16070664,-,1279,mRNA,mRNA,PRA1.B4,prenylated RAB acceptor 1.B4
AT2G38365,Chr2,16070881,16072007,+,1127,mRNA,mRNA,,endonuclease/glycosyl hydrolase
AT2G38370,Chr2,16071979,16074917,-,2939,mRNA,mRNA,,weak chloroplast movement under blue light protein (DUF827)
AT2G38380,Chr2,16076289,16078781,+,2493,mRNA,mRNA,,Peroxidase superfamily protein
AT2G38390,Chr2,16079679,16081671,+,1993,mRNA,mRNA,,Peroxidase superfamily protein
AT2G38400,Chr2,16083645,16086453,+,2809,mRNA,mRNA,AGT3,alanine:glyoxylate aminotransferase 3
AT2G38410,Chr2,16086514,16090274,-,3761,mRNA,mRNA,,ENTH/VHS/GAT family protein
AT2G38420,Chr2,16091030,16092681,+,1652,mRNA,mRNA,,Pentatricopeptide repeat (PPR) superfamily protein
AT2G38430,Chr2,16092742,16095311,-,2570,mRNA,mRNA,,hypothetical protein
AT2G38440,Chr2,16095235,16101221,+,5987,mRNA,mRNA,SCAR2,SCAR homolog 2
AT2G38450,Chr2,16101926,16102998,+,1073,mRNA,mRNA,,Sel1 repeat protein
AT2G38460,Chr2,16103164,16106208,+,3045,mRNA,mRNA,IREG1,iron regulated 1
AT2G38465,Chr2,16106210,16106935,-,726,mRNA,mRNA,,hypothetical protein
AT2G38470,Chr2,16108235,16110766,+,2532,mRNA,mRNA,WRKY33,WRKY DNA-binding protein 33
AT2G08965,Chr2,16108698,16108969,-,272,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G38470
MSTRG.9911.1,Chr2,16109351,16109512,-,162,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G38470
AT2G38480,Chr2,16110741,16111911,-,1171,mRNA,mRNA,,Uncharacterized protein family (UPF0497)
AT2G38490,Chr2,16113909,16115204,-,1296,mRNA,mRNA,CIPK22,CBL-interacting Serine/Threonine-kinase
AT2G38500,Chr2,16117395,16119187,-,1793,mRNA,mRNA,,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT2G38510,Chr2,16123985,16125535,+,1551,mRNA,mRNA,,MATE efflux family protein
AT2G38530,Chr2,16128176,16129399,+,1224,mRNA,mRNA,LTP2,lipid transfer protein 2
AT2G38540,Chr2,16130290,16131240,+,951,mRNA,mRNA,LP1,lipid transfer protein 1
AT2G38550,Chr2,16131730,16134429,+,2700,mRNA,mRNA,,Transmembrane proteins 14C
AT2G38560,Chr2,16134543,16136695,+,2153,mRNA,mRNA,TFIIS,transcript elongation factor IIS
AT2G38570,Chr2,16136689,16138886,-,2198,mRNA,mRNA,,hypothetical protein
AT2G38580,Chr2,16138570,16142657,+,4088,mRNA,mRNA,,Mitochondrial ATP synthase D chain-related protein
AT2G38590,Chr2,16142897,16144184,+,1288,mRNA,mRNA,,F-box and associated interaction domains-containing protein
AT2G08970,Chr2,16145437,16145684,+,248,lncRNA,intragenic,,Overlaps with AT2G38600
AT2G38600,Chr2,16145630,16147144,+,1515,mRNA,mRNA,,HAD superfamily%2C subfamily IIIB acid phosphatase
AT2G38610,Chr2,16147106,16149934,-,2829,mRNA,mRNA,,RNA-binding KH domain-containing protein
AT2G38620,Chr2,16152473,16154086,+,1614,mRNA,mRNA,CDKB1%3B2,cyclin-dependent kinase B1%3B2
AT2G38630,Chr2,16153806,16156608,-,2803,mRNA,mRNA,,Transducin/WD40 repeat-like superfamily protein
AT2G38640,Chr2,16157521,16158660,-,1140,mRNA,mRNA,,LURP-one-like protein (DUF567)
AT2G08975,Chr2,16160108,16160431,+,324,lncRNA,intergenic,,
AT2G38646,Chr2,16160564,16160809,+,246,mRNA,mRNA,,hypothetical protein
AT2G38650,Chr2,16161455,16165876,-,4422,mRNA,mRNA,GAUT7,galacturonosyltransferase 7
MSTRG.9928.1,Chr2,16163296,16163438,-,143,lncRNA,intragenic,NA,Located within an intron of AT2G38650
MSTRG.9929.1,Chr2,16163615,16163796,+,182,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G38650
AT2G38660,Chr2,16165921,16168628,+,2708,mRNA,mRNA,,Amino acid dehydrogenase family protein
AT2G38670,Chr2,16168712,16171918,+,3207,mRNA,mRNA,PECT1,phosphorylethanolamine cytidylyltransferase 1
AT2G38680,Chr2,16174001,16176172,-,2172,mRNA,mRNA,,5'-nucleotidase / magnesium ion binding protein
AT2G38690,Chr2,16176631,16177754,-,1124,mRNA,mRNA,,gem-associated-like protein
MSTRG.9932.2,Chr2,16177201,16177357,-,157,lncRNA,intragenic,NA,Overlaps with AT2G38690
AT2G38695,Chr2,16177872,16180415,+,2544,mRNA,mRNA,,Gag-Pol polyprotein/retrotransposon
AT2G38700,Chr2,16180503,16184074,-,3572,mRNA,mRNA,MVD1,mevalonate diphosphate decarboxylase 1
AT2G38710,Chr2,16184259,16187273,-,3015,mRNA,mRNA,,AMMECR1 family
AT2G38720,Chr2,16188047,16192102,+,4056,mRNA,mRNA,MAP65-5,microtubule-associated protein 65-5
AT2G38730,Chr2,16192325,16194172,-,1848,mRNA,mRNA,,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT2G38740,Chr2,16194326,16196183,-,1858,mRNA,mRNA,,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
AT2G38750,Chr2,16196265,16198832,-,2568,mRNA,mRNA,ANNAT4,annexin 4
AT2G38760,Chr2,16200944,16202669,+,1726,mRNA,mRNA,ANNAT3,annexin 3
AT2G38770,Chr2,16202942,16210428,-,7487,mRNA,mRNA,EMB2765,P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT2G38780,Chr2,16210816,16215521,+,4706,mRNA,mRNA,,cytochrome C oxidase subunit
AT2G38790,Chr2,16214189,16215264,-,1076,mRNA,mRNA,,hypothetical protein
AT2G38800,Chr2,16216752,16219159,+,2408,mRNA,mRNA,,Plant calmodulin-binding protein-like protein
AT2G38810,Chr2,16219220,16220928,-,1709,mRNA,mRNA,HTA8,histone H2A 8
MSTRG.9946.1,Chr2,16219417,16219539,+,123,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G38810
AT2G38820,Chr2,16221815,16223746,+,1932,mRNA,mRNA,,DNA-directed RNA polymerase subunit beta-beta protein%2C putative (DUF506)
AT2G38823,Chr2,16223997,16225507,+,1511,mRNA,mRNA,,hypothetical protein
AT2G38830,Chr2,16225777,16226872,+,1096,mRNA,mRNA,,Ubiquitin-conjugating enzyme/RWD-like protein
AT2G38840,Chr2,16227051,16232522,+,5472,mRNA,mRNA,,Guanylate-binding family protein
AT2G38860,Chr2,16232859,16235367,-,2509,mRNA,mRNA,YLS5,Class I glutamine amidotransferase-like superfamily protein
AT2G38870,Chr2,16236257,16237280,-,1024,mRNA,mRNA,,Serine protease inhibitor%2C potato inhibitor I-type family protein
AT2G38880,Chr2,16238401,16240883,+,2483,mRNA,mRNA,NF-YB1,nuclear factor Y%2C subunit B1
AT2G08980,Chr2,16240917,16241117,-,201,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G38890
AT2G38890,Chr2,16241077,16242917,+,1841,mRNA,mRNA,,hypothetical protein
AT2G38900,Chr2,16243215,16244175,+,961,mRNA,mRNA,,Serine protease inhibitor%2C potato inhibitor I-type family protein
AT2G38905,Chr2,16244061,16244531,-,471,mRNA,mRNA,,Low temperature and salt responsive protein family
AT2G38910,Chr2,16244906,16247855,-,2950,mRNA,mRNA,CPK20,calcium-dependent protein kinase 20
AT2G38920,Chr2,16248146,16251017,-,2872,mRNA,mRNA,,SPX (SYG1/Pho81/XPR1) domain-containing protein / zinc finger (C3HC4-type RING finger) protein-like protein
AT2G38940,Chr2,16257157,16260253,+,3097,mRNA,mRNA,PHT1%3B4,phosphate transporter 1%3B4
AT2G38950,Chr2,16260803,16265270,+,4468,mRNA,mRNA,,Transcription factor jumonji (jmj) family protein / zinc finger (C5HC2 type) family protein
AT2G38960,Chr2,16265286,16268334,+,3049,mRNA,mRNA,ERO2,endoplasmic reticulum oxidoreductins 2
AT2G08985,Chr2,16269224,16269506,+,283,lncRNA,intergenic,,
AT2G38970,Chr2,16273897,16276872,+,2976,mRNA,mRNA,,Zinc finger (C3HC4-type RING finger) family protein
AT2G38980,Chr2,16277004,16279351,-,2348,pseudogene,intergenic,,pseudogene
AT2G38995,Chr2,16281959,16284872,+,2914,mRNA,mRNA,,O-acyltransferase (WSD1-like) family protein
AT2G39000,Chr2,16286212,16288262,-,2051,mRNA,mRNA,,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G08990,Chr2,16289180,16289567,+,388,lncRNA,intergenic,,
AT2G39010,Chr2,16291280,16294101,+,2822,mRNA,mRNA,PIP2E,plasma membrane intrinsic protein 2E
AT2G39020,Chr2,16295140,16296495,+,1356,mRNA,mRNA,,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G39030,Chr2,16298110,16299205,+,1096,mRNA,mRNA,NATA1,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT2G39040,Chr2,16299242,16301245,-,2004,mRNA,mRNA,,Peroxidase superfamily protein
AT2G39050,Chr2,16303295,16305633,+,2339,mRNA,mRNA,EULS3,hydroxyproline-rich glycoprotein family protein
AT2G08995,Chr2,16305974,16306173,-,200,lncRNA,intergenic,,
AT2G39060,Chr2,16306491,16308362,-,1872,mRNA,mRNA,SWEET9,Nodulin MtN3 family protein
AT2G39080,Chr2,16309798,16312622,-,2825,mRNA,mRNA,EMB2799,NAD(P)-binding Rossmann-fold superfamily protein
AT2G39090,Chr2,16312657,16317390,-,4734,mRNA,mRNA,APC7,tetratricopeptide repeat (TPR)-containing protein
AT2G39100,Chr2,16317356,16319387,+,2032,mRNA,mRNA,,RING/U-box superfamily protein
AT2G39110,Chr2,16319447,16321685,+,2239,mRNA,mRNA,,Protein kinase superfamily protein
AT2G39120,Chr2,16321721,16322957,+,1237,mRNA,mRNA,WTF9,Ubiquitin carboxyl-terminal hydrolase family protein
AT2G09000,Chr2,16321728,16321921,-,194,lncRNA,intragenic,,Natural antisense transcript overlaps with AT2G39120
AT2G39130,Chr2,16322956,16327312,-,4357,mRNA,mRNA,,Transmembrane amino acid transporter family protein
MSTRG.9980.1,Chr2,16323389,16323513,+,125,lncRNA,intragenic,NA,Natural antisense transcript overlaps with AT2G39130
AT2G09005,Chr2,16328852,16329115,+,264,lncRNA,intergenic,,
